bfs_nummer,name,einwohnerzahl,min_distanz_m
1005,Hasle (LU),1842,5366.279885276676
1129,Fischbach,724,5818.885600993953
6009,Simplon,281,11926.816616544056
922,Blumenstein,1308,9359.66718263023
959,Walterswil (BE),555,5848.384806085079
394,Wengi,633,6236.609133507417
5560,Grandevent,241,5962.4155073952015
2138,Jaun,657,8791.224436592287
6177,Grengiols,417,7007.247195824182
6033,Liddes,770,10423.804354035736
1367,Muotathal,3583,15091.238362636353
4851,Salenstein,1454,8716.57154965263
6087,Saint-Martin (VS),853,5272.900690231572
708,Schelten,33,8359.972887937873
5071,Dalpe,185,13863.592333130851
716,Petit-Val,484,5014.794268596695
2612,Beinwil (SO),262,6837.36329031937
3946,Untervaz,2674,5953.9924554197
992,Wangen an der Aare,2920,5403.381447300621
231,Zell (ZH),6809,5546.748529740712
3808,Rossa,168,12629.738721103044
605,Bowil,1293,5624.3570360623235
6112,Oberems,140,7405.69830803624
2463,Unterramsern,225,5987.970222789959
2427,Matzendorf,1409,5174.126908699515
4506,Sulgen,4152,6362.191318125216
3294,Pfäfers,1624,11439.354302285788
432,Cormoret,511,9595.551205383317
6812,Basse-Vendline,736,8851.321078586345
1311,Gersau,2462,5712.61186704318
3788,S-chanf,713,15369.812687295194
336,Reisiswil,178,5230.8862474661955
3002,Hundwil,965,7592.739888838238
582,Iseltwald,401,9413.209775151276
938,Sigriswil,4871,5645.303549735453
6751,Montfaucon,564,6142.228633265657
1403,Giswil,3988,12026.585091296984
33,Kleinandelfingen,2238,9078.18209897586
3394,Mosnang,2981,7784.113733391795
2841,Anwil,547,6922.846761048294
5488,Mauraz,67,6909.010750496952
6611,Chancy,1664,8369.68845155832
5873,Le Lieu,918,7332.724915103013
5812,Champtauroz,196,5412.021868757535
410,Höchstetten,253,5898.017174240656
2492,Kienberg,526,5166.5328899288925
1406,Sachseln,5299,6874.39866792175
841,Gsteig,1028,8601.862877861371
6792,Grandfontaine,378,11252.72924211622
1062,Malters,7868,5566.294702121838
4106,Mönthal,393,6400.838839740882
4073,Oberlunkhofen,2207,5290.036544923086
6007,Naters,10674,7170.357352986477
3985,Sumvitg,1063,6386.361204735657
433,Cortébert,660,8037.249897788301
6295,Täsch,1305,6174.516922678731
1066,Schwarzenberg,1817,7760.018399937586
1142,Roggliswil,791,5535.023222481263
4590,Hüttlingen,906,6452.232442257241
885,Uttigen,2176,5973.11363679981
762,Diemtigen,2304,11401.96057366446
4951,Wigoltingen,2640,5623.742416634061
2622,Zullwil,701,5021.507261895534
1132,Hergiswil bei Willisau,1944,7916.60397683966
2051,Delley-Portalban,1319,7175.9973322492615
3863,Jenaz,1164,12404.15957708612
431,Corgémont,1819,5808.29373487832
493,Finsterhennen,570,5398.947522274348
6718,Movelier,414,5103.819075671544
3673,Domleschg,2262,7009.75345825545
6077,Goms,1149,10874.73925580084
1632,Glarus,12886,7267.960021338773
5397,Centovalli,1070,5939.241229177316
3715,Muntogna da Schons,368,8581.108151052564
867,Gurzelen,876,6544.27481538621
6298,Visperterminen,1318,5883.234311935528
6288,Saas-Almagell,385,6088.617881919528
6808,Clos du Doubs,1304,8121.491917978206
5491,Mont-la-Ville,496,6595.2834293752585
2548,Hubersdorf,719,5061.368008536223
5555,Corcelles-près-Concise,434,5682.4119904401605
2445,Biezwil,345,5027.066415051905
4811,Herdern,1176,6594.306133693272
2904,Neunkirch,2660,8477.820417406117
1218,Spiringen,881,19920.57638011511
180,Weisslingen,3496,5335.040933930855
